community,agent_id,agent_role,tenure,live_here,household_id,household_size,household_monthly_income_rmb,unit_id,unit_type,unit_size_sqm,age,annual_income_rmb,role_prompt,ideal_weight,cluster,final_voting_weight
HuaduGuangmingxiangXiaoqu,A000000339,resident,owner_occupier,1,H000000079,4,4350.95,U000000112,L,100.64,48,42379.85,"You are a 48-year-old owner-occupier with an annual personal income of about 42,380 RMB and a current housing area of about 100.6 sqm.",0.4990983864175445,0.0,93.00800132169464
HuaduGuangmingxiangXiaoqu,A000000392,resident,owner_occupier,1,H000000091,5,6090.11,U000000129,L,95.24,47,57920.85,"You are a 47-year-old owner-occupier with an annual personal income of about 57,921 RMB and a current housing area of about 95.2 sqm.",0.609760970173546,1.0,113.63019930177315
HuaduGuangmingxiangXiaoqu,A000000194,resident,owner_occupier,1,H000000046,5,6219.34,U000000067,L,99.93,49,88439.63,"You are a 49-year-old owner-occupier with an annual personal income of about 88,440 RMB and a current housing area of about 99.9 sqm.",0.6482097424125053,2.0,120.79520635556665
HuaduGuangmingxiangXiaoqu,A000000449,resident,owner_occupier,1,H000000105,5,7286.63,U000000150,L,104.75,58,74812.18,"You are a 58-year-old owner-occupier with an annual personal income of about 74,812 RMB and a current housing area of about 104.8 sqm.",0.658869715411271,3.0,122.78171404571368
HuaduGuangmingxiangXiaoqu,A000000147,resident,owner_occupier,1,H000000036,5,7398.45,U000000048,L,113.2,56,105465.81,"You are a 56-year-old owner-occupier with an annual personal income of about 105,466 RMB and a current housing area of about 113.2 sqm.",0.5408305711016566,4.0,100.78487897525191
Hejingyuan,A000000863,resident,owner_occupier,1,H000000200,4,5994.99,U000000306,L,108.53,63,62934.35,"You are a 63-year-old owner-occupier with an annual personal income of about 62,934 RMB and a current housing area of about 108.5 sqm.",0.5023601904188919,,68.33001348836363
Hejingyuan,A000000666,resident,owner_occupier,1,H000000155,5,7462.78,U000000230,L,108.39,40,67472.22,"You are a 40-year-old owner-occupier with an annual personal income of about 67,472 RMB and a current housing area of about 108.4 sqm.",0.7405080559720939,1.0,100.72240280549164
Hejingyuan,A000000584,resident,owner_occupier,1,H000000136,5,7353.27,U000000200,L,110.48,51,86197.0,"You are a 51-year-old owner-occupier with an annual personal income of about 86,197 RMB and a current housing area of about 110.5 sqm.",0.7694854995325177,2.0,104.66385586468212
Hejingyuan,A000000578,resident,owner_occupier,1,H000000135,5,7514.39,U000000198,L,107.02,44,107568.3,"You are a 44-year-old owner-occupier with an annual personal income of about 107,568 RMB and a current housing area of about 107.0 sqm.",0.703555473250175,3.0,95.69618750424901
Hejingyuan,A000000607,resident,owner_occupier,1,H000000141,5,8430.13,U000000209,L,110.99,50,129783.89,"You are a 50-year-old owner-occupier with an annual personal income of about 129,784 RMB and a current housing area of about 111.0 sqm.",0.5777732172565452,4.0,78.58754033721362
JinlianXizuo,A000001328,resident,owner_occupier,1,H000000335,3,4110.54,U000000493,M,76.65,53,40743.52,"You are a 53-year-old owner-occupier with an annual personal income of about 40,744 RMB and a current housing area of about 76.7 sqm.",0.6017685859854642,0.0,67.00243752647707
JinlianXizuo,A000001243,resident,owner_occupier,1,H000000305,3,5195.73,U000000454,M,80.93,47,43873.81,"You are a 47-year-old owner-occupier with an annual personal income of about 43,874 RMB and a current housing area of about 80.9 sqm.",0.8083892266413312,1.0,90.00810264366515
JinlianXizuo,A000001099,resident,owner_occupier,1,H000000264,3,5341.09,U000000395,M,88.04,41,61717.62,"You are a 41-year-old owner-occupier with an annual personal income of about 61,718 RMB and a current housing area of about 88.0 sqm.",0.7199577396199149,2.0,80.16191704588616
JinlianXizuo,A000001261,resident,owner_occupier,1,H000000311,3,5701.14,U000000461,M,86.0,47,78167.44,"You are a 47-year-old owner-occupier with an annual personal income of about 78,167 RMB and a current housing area of about 86.0 sqm.",0.6364923784623335,3.0,70.86867247176546
JinlianXizuo,A000001264,resident,owner_occupier,1,H000000312,3,8171.45,U000000462,M,81.05,54,129531.25,"You are a 54-year-old owner-occupier with an annual personal income of about 129,531 RMB and a current housing area of about 81.0 sqm.",0.34990106576500307,4.0,38.95887031220612
WanshengLou,A000001369,resident,owner_occupier,1,H000000346,5,5040.98,U000000512,L,115.8,26,35182.08,"You are a 26-year-old owner-occupier with an annual personal income of about 35,182 RMB and a current housing area of about 115.8 sqm.",0.48702486008891405,0.0,9.486174076736102
WanshengLou,A000001403,resident,owner_occupier,1,H000000354,5,6963.34,U000000522,L,116.89,34,66649.23,"You are a 34-year-old owner-occupier with an annual personal income of about 66,649 RMB and a current housing area of about 116.9 sqm.",0.7017226468948922,1.0,13.668015182669912
WanshengLou,A000001401,resident,owner_occupier,1,H000000354,5,6963.34,U000000522,L,116.89,28,80151.7,"You are a 28-year-old owner-occupier with an annual personal income of about 80,152 RMB and a current housing area of about 116.9 sqm.",0.5808187975114935,2.0,11.31307387312564
WanshengLou,A000001402,resident,owner_occupier,1,H000000354,5,6963.34,U000000522,L,116.89,60,69455.05,"You are a 60-year-old owner-occupier with an annual personal income of about 69,455 RMB and a current housing area of about 116.9 sqm.",0.5580333550190445,3.0,10.869263522542367
WanshengLou,A000001400,resident,owner_occupier,1,H000000354,5,6963.34,U000000522,L,116.89,46,102266.62,"You are a 46-year-old owner-occupier with an annual personal income of about 102,267 RMB and a current housing area of about 116.9 sqm.",0.650148973038273,4.0,12.663473344925972
ZhonghuaLou,A000001435,resident,renter,1,H000000365,3,4257.24,U000000535,M,77.4,54,36408.96,"You are a 54-year-old owner-occupier with an annual personal income of about 36,409 RMB and a current housing area of about 77.4 sqm.",0.6497798643518033,0.0,24.072865881253556
ZhonghuaLou,A000001484,resident,renter,1,H000000384,3,4886.56,U000000557,M,77.94,43,47259.89,"You are a 43-year-old owner-occupier with an annual personal income of about 47,260 RMB and a current housing area of about 77.9 sqm.",0.7086550521338176,1.0,26.2540576616789
ZhonghuaLou,A000001505,resident,renter,1,H000000391,3,4252.75,U000000567,M,87.36,51,54624.05,"You are a 51-year-old owner-occupier with an annual personal income of about 54,624 RMB and a current housing area of about 87.4 sqm.",0.7256748710513621,2.0,26.88460323657754
ZhonghuaLou,A000001414,resident,renter,1,H000000357,3,3435.81,U000000526,M,88.48,55,66021.41,"You are a 55-year-old owner-occupier with an annual personal income of about 66,021 RMB and a current housing area of about 88.5 sqm.",0.5957090173087859,3.0,22.069663996487854
ZhonghuaLou,A000001453,resident,renter,1,H000000373,4,6381.78,U000000544,L,100.81,67,62865.91,"You are a 67-year-old owner-occupier with an annual personal income of about 62,866 RMB and a current housing area of about 100.8 sqm.",0.3163165659418471,4.0,11.718809224002154
HuachengNanluXiaoqu,A000001564,resident,owner_occupier,1,H000000404,4,5826.43,U000000592,L,107.24,65,40611.91,"You are a 65-year-old owner-occupier with an annual personal income of about 40,612 RMB and a current housing area of about 107.2 sqm.",0.569525349475296,0.0,17.079058631604493
HuachengNanluXiaoqu,A000001547,resident,owner_occupier,1,H000000401,4,5612.4,U000000583,L,119.7,41,70456.58,"You are a 41-year-old owner-occupier with an annual personal income of about 70,457 RMB and a current housing area of about 119.7 sqm.",0.5350072488129396,1.0,16.043921801247162
HuachengNanluXiaoqu,A000001563,resident,owner_occupier,1,H000000404,4,5826.43,U000000592,L,107.24,54,86521.27,"You are a 54-year-old owner-occupier with an annual personal income of about 86,521 RMB and a current housing area of about 107.2 sqm.",0.7520976156670537,2.0,22.554078210042395
HuachengNanluXiaoqu,A000001523,resident,owner_occupier,1,H000000395,5,8401.24,U000000575,L,105.78,55,76262.72,"You are a 55-year-old owner-occupier with an annual personal income of about 76,263 RMB and a current housing area of about 105.8 sqm.",0.6071823755710962,3.0,18.208326287863454
HuachengNanluXiaoqu,A000001598,resident,owner_occupier,1,H000000411,5,9218.99,U000000604,L,96.97,51,142323.79,"You are a 51-year-old owner-occupier with an annual personal income of about 142,324 RMB and a current housing area of about 97.0 sqm.",0.4373253755756105,4.0,13.114615069242483
LonghuaLou,A000001782,resident,owner_occupier,1,H000000467,3,4361.78,U000000689,M,86.84,39,36606.83,"You are a 39-year-old owner-occupier with an annual personal income of about 36,607 RMB and a current housing area of about 86.8 sqm.",0.6449788203086149,0.0,59.35871197834382
LonghuaLou,A000001733,resident,owner_occupier,1,H000000451,3,4726.63,U000000668,M,80.22,48,42885.36,"You are a 48-year-old owner-occupier with an annual personal income of about 42,885 RMB and a current housing area of about 80.2 sqm.",0.8413212610964109,1.0,77.42850593882024
LonghuaLou,A000001693,resident,owner_occupier,1,H000000438,3,4795.04,U000000647,M,79.28,48,59594.11,"You are a 48-year-old owner-occupier with an annual personal income of about 59,594 RMB and a current housing area of about 79.3 sqm.",0.7833550875378054,2.0,72.09376114967263
LonghuaLou,A000001735,resident,owner_occupier,1,H000000451,3,4726.63,U000000668,M,80.22,56,65646.1,"You are a 56-year-old owner-occupier with an annual personal income of about 65,646 RMB and a current housing area of about 80.2 sqm.",0.6674348030863815,3.0,61.4253817230314
LonghuaLou,A000001814,resident,owner_occupier,1,H000000475,3,3676.87,U000000703,M,85.78,41,49996.9,"You are a 41-year-old owner-occupier with an annual personal income of about 49,997 RMB and a current housing area of about 85.8 sqm.",0.6486180665733711,,59.693639210131934
YatuHuayuan,A000002273,resident,owner_occupier,1,H000000609,3,4851.44,U000000911,M,78.39,49,41402.89,"You are a 49-year-old owner-occupier with an annual personal income of about 41,403 RMB and a current housing area of about 78.4 sqm.",0.7083666849721152,0.0,184.85297768076947
YatuHuayuan,A000002561,resident,owner_occupier,1,H000000707,3,4457.68,U000001049,M,84.36,51,53089.14,"You are a 51-year-old owner-occupier with an annual personal income of about 53,089 RMB and a current housing area of about 84.4 sqm.",0.7576007787258285,1.0,197.7009405040724
YatuHuayuan,A000002528,resident,owner_occupier,1,H000000694,3,5623.97,U000001034,M,86.97,45,65290.87,"You are a 45-year-old owner-occupier with an annual personal income of about 65,291 RMB and a current housing area of about 87.0 sqm.",0.7657195948991885,2.0,199.8195993522754
YatuHuayuan,A000002467,resident,owner_occupier,1,H000000675,3,4932.02,U000001002,M,87.43,49,72789.98,"You are a 49-year-old owner-occupier with an annual personal income of about 72,790 RMB and a current housing area of about 87.4 sqm.",0.7008218617134645,3.0,182.8841060849919
YatuHuayuan,A000002699,resident,owner_occupier,1,H000000751,3,4126.13,U000001114,M,84.27,52,57250.34,"You are a 52-year-old owner-occupier with an annual personal income of about 57,250 RMB and a current housing area of about 84.3 sqm.",0.7041108002516409,,183.74237637789093
YongdaXincheng,A000003622,resident,renter,1,H000001029,3,6453.03,U000001554,M,76.58,42,57308.88,"You are a 42-year-old owner-occupier with an annual personal income of about 57,309 RMB and a current housing area of about 76.6 sqm.",0.6959863903158864,0.0,567.430959688784
YongdaXincheng,A000003541,resident,renter,1,H000001006,3,6953.59,U000001516,M,80.02,50,63160.26,"You are a 50-year-old owner-occupier with an annual personal income of about 63,160 RMB and a current housing area of about 80.0 sqm.",0.8447357817000134,1.0,688.7048970540088
YongdaXincheng,A000002991,resident,renter,1,H000000842,3,6592.84,U000001245,M,85.62,49,71735.95,"You are a 49-year-old owner-occupier with an annual personal income of about 71,736 RMB and a current housing area of about 85.6 sqm.",0.8564570605929417,2.0,698.261142152387
YongdaXincheng,A000003127,resident,renter,1,H000000883,3,5754.99,U000001311,M,84.51,53,92593.57,"You are a 53-year-old owner-occupier with an annual personal income of about 92,594 RMB and a current housing area of about 84.5 sqm.",0.6868609189777118,3.0,559.9910513355723
YongdaXincheng,A000005558,resident,renter,1,H000001610,3,5187.28,U000002472,M,82.19,50,54799.45,"You are a 50-year-old owner-occupier with an annual personal income of about 54,799 RMB and a current housing area of about 82.2 sqm.",0.7464972201293603,,608.6119497692478
ZuanshiHuayuan,A000006150,resident,owner_occupier,1,H000001778,4,5220.3,U000002728,L,106.0,52,76309.08,"You are a 52-year-old owner-occupier with an annual personal income of about 76,309 RMB and a current housing area of about 106.0 sqm.",0.5035653695755761,,52.22027573907271
ZuanshiHuayuan,A000006197,resident,owner_occupier,1,H000001791,4,6271.46,U000002745,L,107.08,44,80797.56,"You are a 44-year-old owner-occupier with an annual personal income of about 80,798 RMB and a current housing area of about 107.1 sqm.",0.5426808449039587,1.0,56.27659301330195
ZuanshiHuayuan,A000006229,resident,owner_occupier,1,H000001800,5,9179.64,U000002755,L,109.15,51,89254.84,"You are a 51-year-old owner-occupier with an annual personal income of about 89,255 RMB and a current housing area of about 109.2 sqm.",0.7550672067407151,2.0,78.30128940511638
ZuanshiHuayuan,A000006294,resident,owner_occupier,1,H000001813,5,9730.14,U000002777,L,110.31,64,80593.49,"You are a 64-year-old owner-occupier with an annual personal income of about 80,593 RMB and a current housing area of about 110.3 sqm.",0.5604867665579116,3.0,58.123086427536215
ZuanshiHuayuan,A000006068,resident,owner_occupier,1,H000001758,5,9015.12,U000002704,L,122.17,61,90433.93,"You are a 61-year-old owner-occupier with an annual personal income of about 90,434 RMB and a current housing area of about 122.2 sqm.",0.4829144737655391,4.0,50.078755414972775
FulinLou,A000006385,resident,owner_occupier,1,H000001839,5,10217.3,U000002813,L,105.88,30,68170.74,"You are a 30-year-old owner-occupier with an annual personal income of about 68,171 RMB and a current housing area of about 105.9 sqm.",0.5543564935434275,0.0,88.3639606168458
FulinLou,A000006303,resident,owner_occupier,1,H000001817,5,9814.07,U000002782,L,100.46,43,103805.99,"You are a 43-year-old owner-occupier with an annual personal income of about 103,806 RMB and a current housing area of about 100.5 sqm.",0.600370356366205,1.0,95.69853179921138
FulinLou,A000006711,resident,owner_occupier,1,H000001908,5,9165.08,U000002941,L,115.48,36,97157.52,"You are a 36-year-old owner-occupier with an annual personal income of about 97,158 RMB and a current housing area of about 115.5 sqm.",0.544957100858981,2.0,86.86570529799539
FulinLou,A000006502,resident,owner_occupier,1,H000001863,4,7990.83,U000002854,L,113.81,43,135524.97,"You are a 43-year-old owner-occupier with an annual personal income of about 135,525 RMB and a current housing area of about 113.8 sqm.",0.5506057318273053,3.0,87.76609234177953
FulinLou,A000006466,resident,owner_occupier,1,H000001856,4,6382.49,U000002837,L,115.87,38,101778.3,"You are a 38-year-old owner-occupier with an annual personal income of about 101,778 RMB and a current housing area of about 115.9 sqm.",0.535170378441211,,85.30570994416793
